S.No.,local_name,common_name,botanical_name
1,"Ant tree","Mulato Tree","Triplaris weigeltiana (Rchb.) Kuntze"
2,"Beggers bowl tree","Calabash Tree","Crescentia cujete Linn."
3,Blackwood,"Jamaica wood","Haematoxylun campechianum L."
4,Boleira,Boleira,"Joanesia princeps Vell."
5,"Branch Palm","Branch Palm","Hyphaene dichotoma (White) furt."
6,Buksfuliya,"Diospyros Buxifolia","Diospyros buxifolia (Blume.) Hiern."
7,Chandan,Sandalwood,"Santalum album Linn."
8,"Choti Bhokar","Choti Bhokar","Cordia monoica Roxb."
9,"Covill's glory","Colville's Glory","Colvillea racemosa Boj."
10,"Damas Tree","Damas Tree","Conocarpus lancifolius Engl."
11,Dead,Dead,N/A
12,"Elephant Ear Tree","Monkey's Ear Tree","Enterolobium cyclocarpum (Jacq.) Griseb."
13,"Gorakh Chinch","Baobab Tree","Adansonia digitata Linn."
14,Kajra,"Nux Vomica","Strychnos nux-vomica Linn."
15,Kapur,"Camphor Tree","Cinnamomum camphora (L.) Presl."
16,"Lakshmi Taru","Lakshmi Taru","Simarouba glauca DC."
17,"Latania Palm","Latania Palm","Latania loddigesii Mart."
18,"Leopards bark tree","Brazilian Ironwood Tree","Caesalpinia ferrea C.Mart."
19,"Lignum vitae","Indian Box Tree","Guaiacum officinale Linn."
20,Maharukh,"Indian Tree Of Heaven","Ailanthus excelsa Roxb."
21,Manimor,"Colville's Glory","Colvillea racemosa Boj."
22,"Oil Palm","Oil Palm","Elaeis guineensis Jacq."
23,Payar,"Rumpf's Ficus Tree","Ficus rumphii Blume."
24,"Pong Pong Champa","Suicide Tree","Cerbera manghas Linn."
25,Raktachandan,"Red Sandalwood","Pterocarpus santalinus Linn.f"
26,Rukhdo,"Baobab Tree","Adansonia digitata Linn."
27,Sukanu,"Suicide Tree","Cerbera manghas Linn."
28,"Talbot Ficus","Talbot Ficus","Ficus talbotii King."
29,"Tali palm","Taliera Palm","Corypha taliera Roxb."
30,"The Burmese Pink Cassia","The Burmese Pink Cassia","Cassia renigera Benth."
31,"Triangular palm","Triangular Palm","Dypsis decaryi (Jum.)Beentje & J.Dransf."
32,"Washingtonia Palm","Washingtonia Palm","Washingtonia filifera (Linden ex Andre) H.Wendl. ex De Bary"
